source,date,text,rating,metadata
Telegram,2026-08-24 11:53:03,thank you very much Big brother,,7517205512 | views: nan
Telegram,2026-08-24 11:52:25,"You can actually send message to Marchant, if you have any restriction or issues related to your binance account kindly chat binance live support. https://www.binance.com/en/chat",,977295348 | views: nan
Telegram,2026-08-24 11:48:53,Check messages. Sir,,604089790 | views: nan
Telegram,2026-08-24 11:39:13,actually when I trad in p2p there's fixed template I cannot Free chat with buyer's,,7517205512 | views: nan
Telegram,2026-08-24 11:38:04,Today maybe🤭🤭,,6753988569 | views: nan
Telegram,2026-08-24 11:33:55,Hi what's wrong?,,977295348 | views: nan
Telegram,2026-08-24 11:32:50,,,7637257589 | views: nan
Telegram,2026-08-24 11:24:59,Winner's Will Be Announced Soon Maybe Today Or Tomorrow.,,5340705899 | views: nan
Telegram,2026-08-24 11:23:01,1st week of sept,,918503070 | views: nan
Telegram,2026-08-24 11:22:19,"Hi guys, have there been results for this competition yet?",,5000225489 | views: nan
Telegram,2026-08-24 11:21:10,hi everyone i m living Dubai can I asked you admin I cannot Free chat in my binance,,7517205512 | views: nan
Telegram,2026-08-24 11:07:25,"Yes thanks, inspired by the current fluctuated market💪✌️",,6527617781 | views: nan
Google News,2026-08-24 10:58:04,"Abraxas Capital Opens $100M ETH Short, Hedges with $173M Binance Withdrawals - Cryptonews.net <a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE43UERDeTlyT3MxS1hKcnZQVzlDY3I2S1BvNmNVNU5BWWI3dmQ4R3paSEFERnVPaWxVaW5iQ2YxQ1RLNFBDaG9UdnNqVnVnNEl0bHJwZ2dtd3ZuUQ?oc=5"" target=""_blank"">Abraxas Capital Opens $100M ETH Short, Hedges with $173M Binance Withdrawals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cryptonews.net</font>",,Google News
Telegram,2026-08-24 10:55:55,,,7313878571 | views: nan
Telegram,2026-08-24 10:54:46,1,,8545784846 | views: nan
Telegram,2026-08-24 10:47:24,Liquidity pools are funds locked in smart contracts that help power decentralized trading,,6753988569 | views: nan
Telegram,2026-08-24 10:45:02,,,6283677931 | views: nan
Telegram,2026-08-24 10:42:42,Great quote to start week,,7333355063 | views: nan
Telegram,2026-08-24 10:39:00,Holla can I ask about design competition progress?,,485980819 | views: nan
Telegram,2026-08-24 10:37:42,Good morning madam,,6753988569 | views: nan
Telegram,2026-08-24 10:31:28,6iago3cq,,6052659858 | views: nan
Telegram,2026-08-24 10:27:51,Chek DM,,604089790 | views: nan
Telegram,2026-08-24 10:27:30,,,6283677931 | views: nan
Telegram,2026-08-24 10:26:25,Can you share your case ID with me please,,5949781266 | views: nan
